sep=,
S2Chart
X of SiO2_calib 75  1 Measured 75 [Wavelength (nm)],SiO2_calib 75  1 Measured 75 - Delta,X of SiO2_calib 70  2 Measured 70 [Wavelength (nm)],SiO2_calib 70  2 Measured 70 - Delta,X of SiO2_calib 65  3 Measured 65 [Wavelength (nm)],SiO2_calib 65  3 Measured 65 - Delta,X of SiO2_calib 60  4 Measured 60 [Wavelength (nm)],SiO2_calib 60  4 Measured 60 - Delta,X of SiO2_calib 55  5 Measured 55 [Wavelength (nm)],SiO2_calib 55  5 Measured 55 - Delta,X of SiO2_calib 50  6 Measured 50 [Wavelength (nm)],SiO2_calib 50  6 Measured 50 - Delta,X of SiO2_calib 75  1 Generated 75 [Wavelength (nm)],SiO2_calib 75  1 Generated 75 - Delta,X of SiO2_calib 70  2 Generated 70 [Wavelength (nm)],SiO2_calib 70  2 Generated 70 - Delta,X of SiO2_calib 65  3 Generated 65 [Wavelength (nm)],SiO2_calib 65  3 Generated 65 - Delta,X of SiO2_calib 60  4 Generated 60 [Wavelength (nm)],SiO2_calib 60  4 Generated 60 - Delta,X of SiO2_calib 55  5 Generated 55 [Wavelength (nm)],SiO2_calib 55  5 Generated 55 - Delta,X of SiO2_calib 50  6 Generated 50 [Wavelength (nm)],SiO2_calib 50  6 Generated 50 - Delta
907.414773965257,57.7879335628098,907.414773965257,78.0520037214967,907.414773965257,97.0111778252564,907.414773965257,113.141813183409,907.414773965257,127.25633100248,907.414773965257,139.360566909277,907.414773965257,58.2628732688877,907.414773965257,78.1661250938954,907.414773965257,96.86988229577,907.414773965257,113.477913136843,907.414773965257,127.617360730066,907.414773965257,139.367159037656
906.628717093373,57.9459832087817,906.628717093373,77.9216350429631,906.628717093373,96.7346491454213,906.628717093373,113.467831622829,906.628717093373,127.638103619783,906.628717093373,139.076514539127,906.628717093373,58.2586906342368,906.628717093373,78.1553408140468,906.628717093373,96.8535102194513,906.628717093373,113.45936548298,906.628717093373,127.60014104758,906.628717093373,139.35346645862
905.842660221493,57.9056964858941,905.842660221493,78.2560840000249,905.842660221493,96.9857047104873,905.842660221493,113.577708733317,905.842660221493,127.550785756237,905.842660221493,139.794277540421,905.842660221493,58.2545338081207,905.842660221493,78.1446024947459,905.842660221493,96.8372013457867,905.842660221493,113.440891407955,905.842660221493,127.583001131424,905.842660221493,139.339858506464
905.056603349615,58.0848349398509,905.056603349615,78.1725082116117,905.056603349615,96.7627229069158,905.056603349615,113.418488234449,905.056603349615,127.588339762359,905.056603349615,139.52277399205,905.056603349615,58.2504029976402,905.056603349615,78.133910472463,905.056603349615,96.8209561771324,905.056603349615,113.422491593748,905.056603349615,127.565941822082,905.056603349615,139.326336137476
904.270546477733,58.0248420211423,904.270546477733,78.1439520138672,904.270546477733,96.7923332481065,904.270546477733,113.505904260799,904.270546477733,127.276078761357,904.270546477733,139.169465199945,904.270546477733,58.2462984110239,904.270546477733,78.1232650859173,904.270546477733,96.8047752197116,904.270546477733,113.404166728219,904.270546477733,127.548963967992,904.270546477733,139.312900317612
903.484489605854,57.9959026372772,903.484489605854,77.9436334607632,903.484489605854,96.8795924619066,903.484489605854,113.34467326783,903.484489605854,127.409967094176,903.484489605854,139.318631179682,903.484489605854,58.2422202576322,903.484489605854,78.1126666760935,903.484489605854,96.7886589836507,903.484489605854,113.385917505164,903.484489605854,127.53206842564,903.484489605854,139.299552022604
902.698432733971,58.0809886278253,902.698432733971,78.0010607446613,902.698432733971,96.8275122590335,902.698432733971,113.365482433196,902.698432733971,127.521338933226,902.698432733971,139.586095891683,902.698432733971,58.2381687479612,902.698432733971,78.1021155862573,902.698432733971,96.7726079830143,902.698432733971,113.367744624378,902.698432733971,127.515256059638,902.698432733971,139.286292238068
901.912375862091,58.0609898594404,901.912375862091,78.1028832692554,901.912375862091,96.8759819028823,901.912375862091,113.205892764807,901.912375862091,127.575925053629,901.912375862091,139.126298920724,901.912375862091,58.2341440936464,901.912375862091,78.0916121619725,901.912375862091,96.7566227358421,901.912375862091,113.349648791719,901.912375862091,127.498527742819,901.912375862091,139.273121959618
901.126318990209,57.9034930532028,901.126318990209,78.1161171068876,901.126318990209,96.9131210692412,901.126318990209,113.609352134056,901.126318990209,127.336876692822,901.126318990209,139.321212988463,901.126318990209,58.2301465074665,901.126318990209,78.081156751117,901.126318990209,96.7407037641849,901.126318990209,113.331630719165,901.126318990209,127.481884356325,901.126318990209,139.260042192973
900.340262118332,58.1209190360867,900.340262118332,77.9605137618744,900.340262118332,96.894215868024,900.340262118332,113.450177262246,900.340262118332,127.56822268513,900.340262118332,139.654596011761,900.340262118332,58.226176203347,900.340262118332,78.0707497038996,900.340262118332,96.7248515941425,900.340262118332,113.313691124883,900.340262118332,127.465326789701,900.340262118332,139.247053954077
899.554205246451,57.8319779831756,899.554205246451,78.0241198291579,899.554205246451,96.5779720483618,899.554205246451,113.339847771999,899.554205246451,127.244521634252,899.554205246451,139.143617033102,899.554205246451,58.2222333963639,899.554205246451,78.0603913728763,899.554205246451,96.7090667559001,899.554205246451,113.295830733287,899.554205246451,127.44885594098,899.554205246451,139.23415826921
