sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
684.174622351109,1.91837074619217,684.174622351109,0,,
683.388565479226,1.91843318784078,683.388565479226,0,,
682.602508607346,1.91849587614611,682.602508607346,0,,
681.816451735466,1.91855881245855,681.816451735466,0,,
681.030394863585,1.9186219981381,681.030394863585,0,,
680.244337991703,1.9186854345545,680.244337991703,0,,
679.458281119825,1.91874912308727,679.458281119825,0,,
678.672224247942,1.9188130651258,678.672224247942,0,,
677.88616737606,1.91887726206949,677.88616737606,0,,
677.100110504182,1.91894171532777,677.100110504182,0,,
676.314053632301,1.91900642632026,676.314053632301,0,,
675.527996760418,1.91907139647678,675.527996760418,0,,
674.741939888538,1.91913662723753,674.741939888538,0,,
673.955883016658,1.91920212005313,673.955883016658,0,,
673.169826144776,1.91926787638471,673.169826144776,0,,
672.383769272897,1.91933389770405,672.383769272897,0,,
671.597712401015,1.91940018549364,671.597712401015,0,,
670.811655529135,1.91946674124679,670.811655529135,0,,
670.025598657254,1.91953356646772,670.025598657254,0,,
669.239541785373,1.91960066267167,669.239541785373,0,,
668.453484913491,1.91966803138501,668.453484913491,0,,
667.66742804161,1.91973567414533,667.66742804161,0,,
666.881371169729,1.91980359250153,666.881371169729,0,,
666.09531429785,1.91987178801396,666.09531429785,0,,
665.309257425969,1.91994026225449,665.309257425969,0,,
664.523200554087,1.92000901680665,664.523200554087,0,,
663.737143682206,1.92007805326571,663.737143682206,0,,
662.951086810327,1.92014737323881,662.951086810327,0,,
662.165029938445,1.92021697834505,662.165029938445,0,,
661.378973066564,1.92028687021563,661.378973066564,0,,
660.592916194684,1.92035705049395,660.592916194684,0,,
659.806859322802,1.92042752083571,659.806859322802,0,,
659.020802450922,1.92049828290905,659.020802450922,0,,
658.234745579043,1.92056933839465,658.234745579043,0,,
657.448688707161,1.92064068898587,657.448688707161,0,,
656.662631835279,1.92071233638885,656.662631835279,0,,
655.876574963398,1.92078428232262,655.876574963398,0,,
655.090518091517,1.92085652851927,655.090518091517,0,,
654.304461219636,1.92092907672404,654.304461219636,0,,
653.518404347758,1.92100192869543,653.518404347758,0,,
652.732347475874,1.92107508620538,652.732347475874,0,,
651.946290603995,1.92114855103935,651.946290603995,0,,
651.160233732114,1.92122232499648,651.160233732114,0,,
650.374176860232,1.92129640988969,650.374176860232,0,,
649.588119988353,1.92137080754587,649.588119988353,0,,
648.802063116473,1.92144551980595,648.802063116473,0,,
648.016006244591,1.92152054852508,648.016006244591,0,,
647.229949372709,1.92159589557277,647.229949372709,0,,
646.443892500829,1.92167156283298,646.443892500829,0,,
645.657835628948,1.92174755220433,645.657835628948,0,,
644.871778757067,1.9218238656002,644.871778757067,0,,
644.085721885186,1.92190050494889,644.085721885186,0,,
643.299665013306,1.92197747219376,643.299665013306,0,,
642.513608141424,1.9220547692934,642.513608141424,0,,
641.727551269543,1.92213239822173,641.727551269543,0,,
640.941494397664,1.92221036096821,640.941494397664,0,,
640.155437525784,1.92228865953799,640.155437525784,0,,
639.3693806539,1.922367295952,639.3693806539,0,,
638.58332378202,1.9224462722472,638.58332378202,0,,
